Sr. No,Title,DOI,Date Published,Author,Abstract,Method Used,Result,Conclusion,Limitations,Disease Domain,Quantum Method Family,Execution Environment,Classical Baseline Quality,Number of Qubits,Data Encoding Strategy,Performance Metric(s) Reported,Quantum Advantage Status,Quantum Advantage Notes,Dataset Size (Numeric),Dataset Size (Notes),Statistical Uncertainty Status,Statistical Uncertainty Details
46,Quantum algorithm for quicker clinical prognostic analysis: an application and experimental study using CT scan images of COVID-19 patients,10.1186/s12911-021-01588-6,2021-01-01,Kinshuk Sengupta; Praveen Ranjan Srivastava,"Establishes a quantum neural network (QNN) model for classifying COVID-19 CT scan images, comparing QML against conventional deep learning for image classification of COVID-19 vs non-COVID pneumonia.",Quantum Neural Network (QNN) via Qiskit; CT image preprocessing; comparison with classical deep learning models; evaluated on COVID-19 CT scan dataset from India (9500+ images).,QNN achieved 96.92% overall accuracy; training time 52 minutes (classical comparison also provided); QNN outperformed conventional deep learning models for specific classification tasks; faster convergence noted.,Quantum neural learning model for COVID-19 CT classification achieves high accuracy (96.92%) and demonstrates faster convergence than classical deep learning; QML shows promise for medical image diagnosis.,Simulation-based study; relatively small quantum circuit; real hardware noise not addressed; convergence claims need broader validation; single-site dataset.,Epidemiology / Respiratory,QNN,Noiseless Simulator,Yes — classical deep learning models,Not Reported,Angle encoding,Accuracy,Yes,claimed over classical DL,9500.0,9500+,No,
47,Quantum annealing algorithms for Boolean tensor networks,10.1038/s41598-022-12611-9,2022-01-01,Elijah Pelofske; Georg Hahn; Daniel O’Malley; Hristo N. Djidjev; Boian S. Alexandrov,"Explores quantum annealing on D-Wave systems for computing Boolean tensor networks (BTNs), formulating BTN factorisation as a QUBO problem. Compares D-Wave quantum annealing against classical heuristic solvers on synthetic and real-world high-dimensional binary datasets.",D-Wave quantum annealing; QUBO formulation of Boolean tensor network factorisation; comparison with classical simulated annealing and greedy algorithms; tested on synthetic and real tensor data.,D-Wave quantum annealing finds competitive-quality BTN solutions compared to classical heuristics for small-to-medium scale problems; performance advantage diminishes for larger tensor dimensions.,Quantum annealing is applicable to Boolean tensor network computations and competitive with classical heuristics at small scales; BTN formulation as QUBO enables direct quantum hardware use.,Limited to small problem sizes that fit on D-Wave chip; embedding overhead limits scalability; no rigorous quantum advantage demonstrated over best classical solvers.,Bioinformatics / General (Tensor decomposition),Quantum Annealing,Real Quantum Hardware,"Yes — classical simulated annealing, greedy algorithms",2000+ (D-Wave 2000Q),QUBO (tensor problem embedding),"Solution quality, Error rate",Partial,competitive but not rigorously superior,,Multiple synthetic + real tensor datasets,Partial,
48,Quantum computing at the frontiers of biological sciences,10.1038/s41592-020-01004-3,2021-01-01,Prashant S. Emani; Jonathan Warrell; Alan Anticevic; Stefan Bekiranov; Michael Gandal; Michael J. McConnell; Guillermo Sapiro; Alán Aspuru-Guzik; Justin T. Baker; Mark B. Gerstein; Aram W. Harrow,"Perspective article discussing the potential of quantum computing to address scaling and complexity challenges in biological sciences, covering genomics, neuroscience, structural biology, and multi-omics integration. Identifies specific biological problems amenable to quantum speedup.","Narrative perspective; no original experiments; reviews VQE, QAOA, quantum ML, and quantum simulation approaches for biological problems.","No quantitative experimental results; qualitative assessment of quantum potential for biological sequence analysis, protein folding, neural circuit modelling, and multi-omics integration.",Quantum computing offers promising approaches for complex biological problems including genomics and neuroscience; near-term hybrid approaches are most viable; continued hardware progress is essential.,Largely speculative; most applications require fault-tolerant quantum computers; data-encoding bottlenecks unresolved; no experimental validation.,Bioinformatics / Neuroscience / General Biology,"Multiple (VQE, QAOA, QML, Quantum Simulation)",Not Reported,None reported,Not Reported,Not Reported,None (perspective),Unclear,Not Reported,,Not Reported,No,
49,Quantum computing in bioinformatics: a systematic review mapping,10.1093/bib/bbae391,2024-01-01,Katarzyna Nałęcz-Charkiewicz; Kamil Charkiewicz; Robert M. Nowak,"First systematic review mapping of quantum computing methods and algorithms applied to bioinformatics, providing a comprehensive overview of current state-of-the-art, future directions, and limitations. Covers sequence analysis, protein folding, phylogenetics, and drug discovery.",Systematic review mapping; PRISMA methodology; literature review of QC bioinformatics applications; classification framework for methods; no original experiments.,"Identifies key quantum approaches for bioinformatics: VQE for molecular simulation, QAOA for optimisation, quantum walks for sequence analysis; most current applications remain at proof-of-concept stage.",Quantum computing in bioinformatics is an emerging field with active research across multiple domains; near-term hardware limitations constrain practical applications; hybrid quantum-classical approaches dominate current work.,Systematic review limitations; field evolves rapidly; classification framework may not capture all approaches; many reviewed methods not experimentally validated.,Bioinformatics / General Biology,"Multiple (VQE, QAOA, Quantum Walks, QML)",Not Reported,Not Reported,Not Reported,Not Reported,None (systematic review),No,Not Reported,,Not Reported,No,
50,Quantum integration in swin transformer mitigates overfitting in breast cancer screening,10.1038/s41598-025-17075-1,2025-01-01,Zongyu Xie; Xiaoguang Yang; Shuni Zhang; Jingru Yang; Yun Zhu; Aoqi Zhang; Haitao Sun; Qun Dai; Lei Li; Hongde Liu; Wenlong Ming; Menghan Dou,"Proposes QEST (Quantum-Enhanced Swin Transformer), integrating variational quantum circuits (VQC) into a Swin Transformer for breast cancer screening. Demonstrates overfitting mitigation through VQC integration and evaluates on real quantum hardware in 8- and 16-qubit configurations.",Quantum-Enhanced Swin Transformer (QEST); VQC with O(KN) parameters replacing classical O(N²) fully connected layers; tested on real IBMQ hardware (8 and 16 qubits); mammography datasets.,QEST achieves performance comparable to classical Swin Transformer while requiring significantly fewer parameters (O(KN) vs O(N²)); BACC improved by 3.62%; VQC integration demonstrably mitigates overfitting.,Quantum-enhanced Swin Transformer with VQC layers reduces overfitting in breast cancer screening while maintaining competitive accuracy; VQC parameter efficiency is a key practical advantage.,Evaluated on limited dataset; performance only comparable (not superior) to classical; real hardware noise impact not fully characterised; 8/16 qubit constraint limits expressibility.,Oncology,VQC,Real Quantum Hardware,Yes — classical Swin Transformer,Aug-16,Amplitude / angle encoding,"Accuracy, BACC",Partial,parameter efficiency advantage; accuracy parity,,Not Reported,Partial,
51,Quantum machine learning with differential privacy,10.1038/s41598-022-24082-z,2023-01-01,William M. Watkins; Samuel Yen-Chi Chen; Shinjae Yoo,Develops a QML algorithm with differential privacy (DP) for privacy-preserving classification. Privacy is achieved by clipping and adding Gaussian noise to quantum circuit gradients during training. Evaluates on the MNIST classification task.,Differentially private QML; gradient clipping + Gaussian noise injection on quantum circuit gradients; privacy budget ε analysis; variational quantum classifier; evaluated on MNIST.,DP-QML achieves same classification accuracy on MNIST as classical ML with equivalent privacy budget; privacy is attained without significant loss in model accuracy; privacy-accuracy trade-off characterised.,Differential privacy can be incorporated into QML training with minimal accuracy loss; provides a framework for privacy-preserving quantum classification applicable to sensitive healthcare data.,Evaluated only on MNIST (not medical data); small-scale simulation; quantum advantage over classical DP-ML not demonstrated; privacy analysis assumes specific threat model.,General / Privacy-Preserving ML,VQC,Noiseless Simulator,Yes — classical ML with DP,Not Reported,Angle encoding,Accuracy,Partial,privacy parity with classical; no performance advantage,70000.0,MNIST (~70000),Partial,
52,"Quantum machine learning: A comprehensive survey of models, challenges, and future directions",10.1016/j.tcs.2026.115923,2026-01-01,Laiba Nadeem; Ahmed Mustafa Khokhar; Maha Fatima Shaikh; Farrukh Hasan Syed; Sumaiyah Zahid,"Comprehensive survey of QML covering QNNs, QCNNs, hybrid quantum-classical architectures, and their applications in medical AI, cryptography, and optimisation. Reviews theoretical benefits, practical limitations, and future research directions for QML.","Structured literature review; taxonomy of QML paradigms (QNN, QCNN, hybrid); analysis of quantum speedup claims; review of applications across domains including medical AI.",Survey finds QML is nascent with few rigorously demonstrated advantages over classical ML; hybrid approaches dominate practical implementations; medical AI and drug discovery identified as high-potential domains.,QML shows theoretical promise but practical advantages remain elusive in near-term hardware; hybrid quantum-classical models are most viable; standardised benchmarking needed for meaningful comparisons.,Survey methodology may introduce selection bias; rapidly evolving field; many reviewed methods not empirically compared; lacks experimental contributions.,General / Multi-domain,QNN,Not Reported,N/A (survey),Not Reported,Not Reported,None (survey),No,Not Reported,,Not Reported,No,
53,Quantum neural networks with data re-uploading for urban traffic time series forecasting,10.1038/s41598-025-04546-8,2025-01-01,Nikolaos Schetakis; Paolo Bonfini; Negin Alisoltani; Konstantinos Blazakis; Symeon I. Tsintzos; Alexis Askitopoulos; Davit Aghamalyan; Panagiotis Fafoutellis; Eleni I. Vlahogianni,"Applies quantum neural networks with data re-uploading strategy to urban traffic time series forecasting. Evaluates QNN-based forecasting against classical methods (ARIMA, LSTM) on real urban traffic datasets.",QNN with data re-uploading; 6-qubit variational quantum circuit; angle encoding with re-uploading; Qiskit simulator; evaluated on urban traffic flow datasets; compared with ARIMA and LSTM.,QNN with data re-uploading achieves competitive performance with classical ARIMA and LSTM on short-horizon traffic forecasting; 6-qubit QNN; no significant quantum advantage demonstrated.,Data re-uploading QNNs can perform competitively with classical time series models for urban traffic forecasting; re-uploading strategy is important for expressibility in limited-qubit systems.,Simulation only; no real hardware validation; competitive but not superior to classical LSTM; urban traffic patterns may not generalise to other domains; limited qubit count.,Transportation / Urban Forecasting,QNN,Noiseless Simulator,"Yes — ARIMA, LSTM baselines",6,Angle encoding (data re-uploading),"MAE, RMSE, Accuracy",No,Not Reported,,Real urban traffic datasets (not specified),Partial,
54,Quantum-Inspired Heuristic Algorithm for Secure Healthcare Prediction Using Blockchain Technology,10.1109/JBHI.2023.3304326,2024-06-01,Hirak Mazumdar; Chinmay Chakraborty; Satheesh Bojja Venkatakrishnan; Ajeet Kaushik; Hardik A. Gohel,Proposes a secure healthcare prediction system combining a quantum-inspired heuristic optimisation algorithm (QKHO - Quantum-inspired Krill Herd Optimisation) with blockchain technology for data privacy. Evaluated on healthcare prediction datasets for multiple disease conditions.,Quantum-inspired Krill Herd Optimisation (QKHO); Deep Forward Neural Network (DFNN); blockchain for data security; feature selection and hyperparameter optimisation; evaluated on healthcare datasets.,QKHO-DFNN achieves improved prediction accuracy and security compared to classical KHO-DFNN and other baselines; blockchain integration ensures patient data privacy and integrity.,Quantum-inspired optimisation combined with blockchain provides a secure and accurate healthcare prediction framework; QKHO demonstrates improved convergence over classical KHO.,Quantum-inspired only (no actual QPU); blockchain overhead not fully characterised; evaluated on specific datasets only; real-world clinical deployment not demonstrated.,General / Multi-domain (Healthcare Prediction),Quantum-Inspired Optimizer,Quantum-Inspired Device,Yes — classical KHO-DFNN and other optimisers,Not Reported,Not Reported,"Accuracy, Precision, Recall, F1",Partial,over classical KHO,,Multiple healthcare datasets,Partial,
55,Quantum-Like Approaches Unveil the Intrinsic Limits of Predictability in Compartmental Models,10.3390/e26100888,2024-01-01,José A. Rojas-Venegas; Pablo Gallarta-Sáenz; Rafael G. Hurtado; Jesúsús Gómez-Gardeñes; David Soriano-Paños,"Extends classical deterministic compartmental epidemic models (SIR/SIS) to a quantum-like formalism using the Doi-Peliti approach, to explore intrinsic limits of epidemic predictability arising from stochastic dynamics. Quantifies irreducible uncertainty in epidemic forecasts.",Doi-Peliti quantum field theory approach; quantum-like extension of SIR/SIS models; analytical derivation of probabilistic bounds; numerical simulations of stochastic epidemic trajectories.,Demonstrates that quantum-like stochastic uncertainty in compartmental models creates intrinsic predictability limits beyond parameter estimation uncertainty; early-stage outbreak forecasts are fundamentally bounded.,Stochastic quantum-like formalism reveals that epidemic forecasts face intrinsic uncertainty bounds independent of data quality; this limits the practical precision of compartmental model predictions.,Quantum-like — no actual quantum computation; abstract mathematical framework; applicability to real epidemics limited by model simplifications; needs empirical validation.,Epidemiology,Quantum-Inspired (Doi-Peliti formalism),Not Reported,Yes — classical deterministic SIR as baseline,Not Reported,Not Reported,"Predictability bounds, Entropy, Phase transition metrics",No,Not Reported,,N/A (synthetic simulations),Partial,
56,"Robust evaluation of classical and quantum machine learning under noise, imbalance, feature reduction and explainability",10.1038/s41598-025-28412-9,2025-01-01,Savita Kumari Sheoran; Vikesh Yadav; Rakesh Kumar Sheoran,"Provides a systematic comparative evaluation of classical and quantum ML algorithms (SVM, QNN, VQC, QSVM) under realistic conditions: label noise, class imbalance, feature reduction, and explainability requirements. Evaluated on multiple healthcare classification datasets.","Comparative evaluation framework; classical (SVM, RF, LR) vs quantum (VQC, QSVM, QNN) classifiers; noise injection; SMOTE for imbalance; PCA feature reduction; SHAP explainability; Qiskit simulator.",Hybrid quantum-classical pipelines outperform purely quantum models under noise and imbalance; VQC with classical preprocessing competitive with SVM; SHAP explanations compatible with quantum classifiers.,Hybrid pipelines merging classical robustness with quantum techniques are most effective for real-world healthcare classification; explainability tools like SHAP are compatible with QML; quantum models need noise hardening.,Simulation only; no real hardware deployment; IBMQ/ionQ hardware evaluation as future work; dataset diversity limited; quantum models underperform classical counterparts in adversarial noise scenarios.,General / Multi-domain (Healthcare),VQC,Noiseless Simulator,"Yes — classical SVM, RF, LR",Not Reported,Angle encoding,"Accuracy, F1, AUC, Precision, Recall",Partial,hybrid pipelines competitive,,Multiple healthcare datasets,Partial,
57,Shallow entangled circuits for quantum time series prediction on IBM devices,10.1038/s41598-025-28512-6,2025-01-01,Mostafizur Rahaman Laskar; Richa Goel,"Investigates shallow quantum circuits with entanglement for time series prediction on IBM quantum hardware, proposing a Quantum Time Series (QTS) framework. Encodes sequential data via phase encoding and uses forward/cross-entanglement layers for temporal correlation capture.",Quantum Time Series (QTS) framework; phase encoding with data re-uploading; forward and cross-entanglement circuit layers; tested on IBM quantum hardware; compared with LSTM and ARIMA.,Phase encoding sparse entanglement provides hardware efficiency; QTS achieves competitive accuracy with classical LSTM on short-range prediction; framework scales to larger qubit systems.,Shallow entangled circuits with phase encoding are a hardware-efficient approach for quantum time series forecasting; entanglement structure critical for temporal pattern capture; competitive with classical LSTM.,Real hardware noise impacts performance; limited qubit count; competitive but not superior to deep learning baselines; tested on synthetic/benchmark time series only.,General (Time-series / Forecasting),VQC,Real Quantum Hardware,"Yes — LSTM, ARIMA baselines",Not Reported,Phase encoding (data re-uploading),"MAE, RMSE, Accuracy",Partial,competitive with classical methods,,Benchmark time series datasets,Partial,
58,Studying the effect of lockdown using epidemiological modelling of COVID-19 and a quantum computational approach using the Ising spin interaction,10.1038/s41598-020-78652-0,2020-01-01,Anshuman Padhi; Sudev Pradhan; Pragna Paramita Sahoo; Bikash K. Behera; Prasanta K. Panigrahi,Models COVID-19 spread using epidemiological SIR model and maps the epidemic to an Ising spin interaction framework solvable on quantum computers. Studies the effect of India’s national lockdown on epidemic trajectory using both classical simulation and quantum circuit implementation.,SIR epidemiological model; Ising spin interaction quantum mapping; quantum circuit implementation on IBM Quantum (Qiskit); comparison with classical numerical SIR solution; India COVID-19 data.,Quantum Ising model reproduces SIR epidemic dynamics; lockdown modelled as effective field; quantum circuit simulation consistent with classical SIR predictions; demonstrates feasibility of quantum epidemic modelling.,"Epidemiological dynamics can be mapped to quantum Ising spin interactions and simulated on near-term quantum hardware; lockdown reduces effective coupling, lowering epidemic transmission; quantum and classical results agree.",Proof-of-concept only; small-scale quantum simulation; no predictive advantage over classical SIR; India-specific lockdown modelling; quantum noise not addressed; limited qubit circuit.,Epidemiology,QNN,Noiseless Simulator + Real Hardware (IBM Q),Yes — classical SIR model,Not Reported,Ising Hamiltonian encoding,"Reproduction number R0, Epidemic curve fit",Partial,feasibility demonstrated; no advantage,19.0,India COVID-19 time-series data,No,
59,Synthesizing physics and quantum machine learning for next-generation battery health prognostics: A critical review and roadmap,10.1016/j.rineng.2026.109538,2026-01-01,Kian Lun Soon; Wai Leong Pang; Hui Hwang Goh; Yee Wai Sim; Swee King Phang; Hui Leng Choo; Lam Tatt Soon; Nai Shyan Lai; Chee-Onn Chow; Denesh Sooriamoorthy,"Critical review and roadmap synthesising physics-informed ML (PI-ML) and quantum ML (QML) for battery state-of-health (SOH) and remaining-useful-life (RUL) prediction. Introduces a three-generation taxonomy: data-driven ML (Gen. 1), physics-informed ML (Gen. 2), and QML (Gen. 3).","Literature review and roadmap; classification framework for SOH/RUL prediction models (Gen. 1-3); benchmark comparison of representative classical, physics-informed, and quantum models; no original experiments.",Gen. 1 (data-driven) models dominate current practice; Gen. 2 (physics-informed) improves generalisation; Gen. 3 (QML) remains speculative for battery prognostics; no clear quantum advantage demonstrated.,Synthesising physics-informed and quantum ML approaches represents the frontier for battery health prognostics; QML offers theoretical potential for high-dimensional SOH modelling but requires hardware maturity.,Review scope; QML for batteries is largely theoretical; no QML experiments on real battery data reported; rapidly evolving field; practical constraints of quantum hardware not fully addressed.,Energy / Battery Health,Multiple (Physics-Informed ML + QML roadmap),Not Reported,Not Reported,Not Reported,Not Reported,None (review/roadmap),No,Not Reported,,Not Reported,No,
